date,flow_v
2021-09-14 12:49:24,17
2021-09-14 12:49:24,17
2021-09-14 12:49:24,17
2021-09-14 12:49:24,18
2021-09-14 12:49:24,18
2021-09-14 12:49:24,18
2021-09-14 12:49:24,18
2021-09-14 12:49:25,18
2021-09-14 12:49:25,18
2021-09-14 12:49:25,18
2021-09-14 12:49:25,16
2021-09-14 12:49:25,15
2021-09-14 12:49:25,16
2021-09-14 12:49:25,16
2021-09-14 12:49:26,15
2021-09-14 12:49:26,16
2021-09-14 12:49:26,15
2021-09-14 12:49:26,15
2021-09-14 12:49:26,13
2021-09-14 12:49:26,13
2021-09-14 12:49:26,13
2021-09-14 12:49:27,13
2021-09-14 12:49:27,13
2021-09-14 12:49:27,13
2021-09-14 12:49:27,13
2021-09-14 12:49:27,15
2021-09-14 12:49:27,15
2021-09-14 12:49:27,15
2021-09-14 12:49:27,15
2021-09-14 12:49:28,16
2021-09-14 12:49:28,16
2021-09-14 12:49:28,15
2021-09-14 12:49:28,20
2021-09-14 12:49:28,20
2021-09-14 12:49:28,20
2021-09-14 12:49:28,20
2021-09-14 12:49:29,20
2021-09-14 12:49:29,20
2021-09-14 12:49:29,20
2021-09-14 12:49:29,18
2021-09-14 12:49:29,18
2021-09-14 12:49:29,18
2021-09-14 12:49:29,18
2021-09-14 12:49:30,18
2021-09-14 12:49:30,18
2021-09-14 12:49:30,18
2021-09-14 12:49:30,16
2021-09-14 12:49:30,16
2021-09-14 12:49:30,16
2021-09-14 12:49:30,15
2021-09-14 12:49:30,15
2021-09-14 12:49:31,15
2021-09-14 12:49:31,15
2021-09-14 12:49:31,16
2021-09-14 12:49:31,14
2021-09-14 12:49:31,14
2021-09-14 12:49:31,14
2021-09-14 12:49:31,14
2021-09-14 12:49:32,14
2021-09-14 12:49:32,14
2021-09-14 12:49:32,14
2021-09-14 12:49:32,18
2021-09-14 12:49:32,17
2021-09-14 12:49:32,17
2021-09-14 12:49:32,17
2021-09-14 12:49:33,17
2021-09-14 12:49:33,17
2021-09-14 12:49:33,17
2021-09-14 12:49:33,17
2021-09-14 12:49:33,16
2021-09-14 12:49:33,15
2021-09-14 12:49:33,15
2021-09-14 12:49:34,15
2021-09-14 12:49:34,16
2021-09-14 12:49:34,16
2021-09-14 12:49:34,15
2021-09-14 12:49:34,14
2021-09-14 12:49:34,14
2021-09-14 12:49:34,14
2021-09-14 12:49:34,14
2021-09-14 12:49:35,14
2021-09-14 12:49:35,14
2021-09-14 12:49:35,14
2021-09-14 12:49:35,18
2021-09-14 12:49:35,18
2021-09-14 12:49:35,18
2021-09-14 12:49:35,18
2021-09-14 12:49:36,18
2021-09-14 12:49:36,18
2021-09-14 12:49:36,18
2021-09-14 12:49:36,16
2021-09-14 12:49:36,21
2021-09-14 12:49:36,21
2021-09-14 12:49:36,21
2021-09-14 12:49:37,21
2021-09-14 12:49:37,21
2021-09-14 12:49:37,21
2021-09-14 12:49:37,21
2021-09-14 12:49:37,15
2021-09-14 12:49:37,15
2021-09-14 12:49:37,15
2021-09-14 12:49:37,16
2021-09-14 12:49:38,15
2021-09-14 12:49:38,15
2021-09-14 12:49:38,15
2021-09-14 12:49:38,15
2021-09-14 12:49:38,15
2021-09-14 12:49:38,15
2021-09-14 12:49:38,15
2021-09-14 12:49:39,15
2021-09-14 12:49:39,15
2021-09-14 12:49:39,16
2021-09-14 12:49:39,15
2021-09-14 12:49:39,14
2021-09-14 12:49:39,14
